,term,control,wiki,word2vec
0,abbe number,0,3,3
1,abscisic acid,0,0,0
2,abscission,0,0,0
3,absolute advantage,0,0,0
4,absolute electrode potential,0,0,0
5,absolute humidity,0,0,0
6,absolute magnitude,0,0,0
7,absolute motion,0,0,0
8,absolute pressure,0,0,0
9,absolute scale,0,1,0
10,absolute zero,0,0,0
11,absorbance,0,0,0
12,absorption,0,0,6
13,absorption spectroscopy,0,1,7
14,absorption spectrum,0,0,0
15,absorptivity,0,0,0
16,abyssal zone,0,0,0
17,accelerating universe,0,0,0
18,acceleration,0,3,4
19,acceleration due to gravity,0,0,0
20,accelerometer,0,0,0
21,acclimatization,0,0,0
22,accuracy,0,0,3
23,acid,0,0,0
24,acid anhydride,0,0,0
25,acid dissociation constant,0,0,0
26,acid precipitation,0,0,0
27,acoelomate,0,0,0
28,acoustics,1,1,9
29,actin,0,0,0
30,actinides,0,0,0
31,action potential,0,0,2
32,activated complex,0,0,0
33,activation energy,0,0,0
34,active site,0,0,0
35,active transport,0,0,0
36,activity series,0,0,0
37,actual yield,0,0,0
38,adaptive expectations,0,0,0
39,addition reaction,0,0,0
40,adenosine triphosphate,0,0,0
41,adenylate cyclase,0,0,0
42,adhesion,0,1,0
43,adiabatic cooling,0,0,0
44,adiabatic heating,0,0,0
45,adverse selection,0,0,0
46,advertising,0,0,24
47,aeration,0,0,0
48,aerobic,0,0,8
49,aerobiology,0,0,0
50,aerodynamics,3,5,21
51,afocal system,0,3,0
52,agency costs,0,0,0
53,agricultural policy,1,1,1
54,agriculture,0,4,8
55,agrobiology,0,0,0
56,aid,2,2,2
57,air mass,0,0,0
58,air mass (astronomy),0,0,0
59,air mass (solar energy),0,4,0
60,albedo,0,1,0
61,alcohol,0,0,0
62,aldehyde,0,0,0
63,alkali metals,0,0,0
64,alkaline earth metals,0,0,0
65,alkane,0,0,0
66,alkene,0,0,0
67,alkyl group,0,0,0
68,alkyne,0,0,0
69,allomer,0,0,0
70,allotropy,0,15,1
71,alloy,0,15,0
72,alpha particle,0,1,0
73,alternating current,0,0,0
74,alternative hypothesis,0,0,0
75,altruism,0,0,0
76,amino acid,0,0,2
77,ammeter,0,0,0
78,amniote,0,0,0
79,amorphous solid,0,0,0
80,amortisation,0,0,0
81,ampere,0,0,0
82,amplifier,0,0,1
83,amplitude,0,1,3
84,anatomy,7,7,65
85,aneuploidy,0,0,0
86,angle of incidence,0,0,0
87,angle of reflection,0,0,0
88,angstrom,0,0,0
89,angular acceleration,0,0,0
90,angular displacement,0,0,0
91,angular frequency,0,0,0
92,angular momentum,1,1,2
93,angular velocity,0,0,0
94,animal spirits,0,0,0
95,anion,0,0,0
96,annihilation,0,0,0
97,anode,0,0,2
98,antibiotic,0,0,0
99,anticodon,0,0,0
100,antigravity,0,0,0
101,antimatter,0,0,0
102,antineutron,0,0,0
103,antiparticle,0,0,2
104,antiproton,0,0,0
105,antitrust,0,0,0
106,appreciation,3,3,6
107,arachnology,0,0,0
108,arbitrage,0,5,4
109,arbitrage pricing theory,0,4,0
110,arc length,0,0,0
111,archimedes' principle,0,3,0
112,area moment of inertia,0,0,0
113,aromaticity,0,0,0
114,artificial selection,0,0,0
115,asexual reproduction,0,0,1
116,asian crisis,0,0,0
117,assets,0,0,4
118,astrobiology,0,0,8
119,astronomical unit,0,0,0
120,astrophysics,8,8,18
121,asymmetric information,0,0,0
122,asymmetric shock,0,0,0
123,atom,2,17,6
124,atomic line filter,0,0,0
125,atomic mass,0,3,0
126,atomic mass unit,0,0,0
127,atomic number,0,3,0
128,atomic orbital,0,5,0
129,atomic packing factor,0,0,0
130,atomic physics,5,5,7
131,atomic radius,0,3,0
132,atomic structure,1,1,1
133,atomic weight,0,0,0
134,attenuation coefficient,0,0,0
135,auctions,0,0,0
136,audio frequency,0,1,0
137,austrian economics,0,0,5
138,autarky,0,0,0
139,autoimmunity,0,7,2
140,autotrophic,0,0,0
141,average,0,0,0
142,average atomic mass,0,0,0
143,average speed,0,0,0
144,avogadro constant,0,0,0
145,avogadro's law,0,0,0
146,avogadro's number,0,0,0
147,axion,0,0,0
148,azimuthal quantum number,0,5,0
149,b cell,3,14,3
150,babinet's principle,0,0,0
151,background radiation,0,0,2
152,backwardation,0,0,0
153,bacteria,0,0,7
154,bacteriophage,0,0,2
155,balance of payments,0,0,0
156,balanced budget,0,0,0
157,balmer series,0,0,0
158,bank,1,1,3
159,bankruptcy,0,0,9
160,barometer,0,0,0
161,barr body,0,7,0
162,barriers to entry (or exit),0,0,0
163,barter,0,4,0
164,basal body,0,0,0
165,base,0,0,22
166,base anhydride,0,0,0
167,basel 1 and 2,0,0,0
168,basis point,0,0,0
169,battery,0,0,0
170,beam,0,0,2
171,bear,0,0,5
172,beat,0,0,0
173,beer-lambert law,0,0,0
174,behavioral ecology,0,0,1
175,behavioural economics,5,5,5
176,bending,0,0,0
177,bending moment,0,36,0
178,benthic zone,0,0,0
179,bernoulli equation,0,0,0
180,bernoulli's principle,0,0,0
181,bessel function,0,0,0
182,beta,0,0,0
183,beta particle,0,1,0
184,big bang,1,1,20
185,big mac index,0,0,0
186,bile,0,0,0
187,binary fission,0,0,0
188,binary star,0,0,0
189,binding energy,0,0,0
190,binomial random variable,0,0,0
191,biocatalysis,0,0,0
192,biochemistry,1,9,74
193,biodiversity,2,2,6
194,bioenergetics,0,4,0
195,bioengineering,0,0,0
196,biogeography,0,4,12
197,bioinformatics,0,0,24
198,biological organization,0,0,0
199,biology,50,50,129
200,biomass,0,0,0
201,biomathematics,0,0,0
202,biome,0,0,0
203,biomechanics,0,0,0
204,biomedical engineering,0,0,16
205,biomedical research,0,0,0
206,biomimetic,0,0,0
207,biomolecule,0,1,0
208,bionics,0,0,0
209,biophysics,0,0,7
210,biotechnology,2,2,18
211,bipedal,0,0,0
212,black,0,0,1
