,term,control,wiki,word2vec
213,black economy,0,0,0
214,black hole,0,0,0
215,black-scholes,0,0,0
216,blastocyst,0,0,0
217,block and tackle,0,3,0
218,blood,0,0,0
219,bohr model,0,5,0
220,boiling,0,0,0
221,boiling point,0,0,1
222,boiling point elevation,0,0,0
223,boiling-point elevation,0,0,0
224,boltzmann constant,0,6,0
225,bond,0,0,1
226,bonds,0,0,0
227,boom and bust,0,0,0
228,bose,0,0,1
229,boson,0,5,0
230,botany,0,0,50
231,bounded rationality,0,0,0
232,bowman's capsule,0,0,0
233,boyle's law,0,0,0
234,bra,0,0,0
235,bragg's law,0,0,0
236,brand,0,0,22
237,bretton woods,0,0,0
238,brewster's angle,0,0,0
239,british thermal unit,0,0,0
240,brittle,0,0,3
241,brønsted,0,0,0
242,brønsted-lowrey acid,0,0,0
243,brønsted-lowrey base,0,0,0
244,brownian motion,0,0,6
245,bubble,0,0,0
246,buckminsterfullerene,0,0,0
247,budget,0,0,57
248,buffered solution,0,0,0
249,building biology,0,1,0
250,bulk modulus,0,0,0
251,bull,0,0,0
252,bumping,0,0,0
253,buoyancy,0,3,2
254,burette,0,0,0
255,business confidence,0,0,0
256,business cycle,0,0,0
257,buyer's market,0,0,0
258,calculus,19,19,58
259,calorimeter,0,0,0
260,calvin cycle,0,0,0
261,cannibalise,0,0,0
262,capacitance,0,28,1
263,capacitive reactance,0,0,0
264,capacity,1,1,5
265,capital,3,3,3
266,capital adequacy ratio,0,0,0
267,capital asset pricing model,0,5,0
268,capital controls,0,0,0
269,capital flight,0,2,0
270,capital gains,0,0,0
271,capital intensive,0,0,0
272,capital markets,2,2,2
273,capital structure,1,1,1
274,capitalism,3,3,4
275,capm,0,0,0
276,capsid,0,0,0
277,carbon fixation,0,0,0
278,carbonate,0,0,0
279,carnot cycle,0,0,2
280,cartel,0,0,0
281,cartesian coordinates,0,0,0
282,catalyst,0,0,0
283,catch-up effect,0,0,0
284,cathode,0,0,1
285,cathode ray,0,1,0
286,cation,0,0,0
287,cell,3,3,8
288,cell biology,3,3,10
289,cell membrane,0,0,1
290,cell nucleus,0,0,0
291,cell plate,0,0,0
292,cell potential,0,0,0
293,cell theory,0,3,0
294,celsius scale,0,0,0
295,center of curvature,0,0,0
296,center of gravity,0,0,0
297,center of mass,0,5,0
298,center of pressure,0,0,0
299,centigrade,0,0,0
300,central bank,0,0,0
301,central force motion,0,0,0
302,central limit theorem,0,0,0
303,centrifugal force,0,31,0
304,centrifugation,0,0,0
305,centrifuge,0,0,0
306,centriole,0,0,0
307,centripetal force,0,31,0
308,centroid,0,0,0
309,centrosome,0,0,0
310,ceteris paribus,0,1,0
311,chain reaction,0,0,0
312,change of base rule,0,0,0
313,charity,0,0,2
314,charles's law,0,0,0
315,chelation,0,0,0
316,chemical bond,0,0,1
317,chemical compound,0,15,0
318,chemical equilibrium,0,0,0
319,chemical formula,0,0,0
320,chemical kinetics,0,0,0
321,chemical law,0,0,0
322,chemical physics,0,15,0
323,chemical reaction,0,15,5
324,chemistry,15,15,164
325,chicago school,0,0,0
326,chloride,0,0,0
327,chloroplast,0,0,0
328,cholesterol,0,7,0
329,chromate,0,0,0
330,chromosome,0,0,2
331,circle,0,0,4
332,circular motion,0,9,2
333,classical dichotomy,0,0,0
334,classical economics,0,0,0
335,classical mechanics,5,8,22
336,cloning,0,6,7
337,closed economy,0,0,0
338,closed system,0,4,0
339,coase theorem,0,0,0
340,coherence,1,1,1
341,cold fusion,0,0,17
342,collateral,0,0,0
343,colligative properties,0,8,0
344,colloid,0,0,0
345,collusion,0,0,0
346,combustion,0,0,5
347,command economy,0,0,0
348,commoditisation,0,0,0
349,commodity,0,0,11
350,common goods,0,0,0
351,communism,0,0,4
352,comparative advantage,0,0,2
353,competition,2,2,7
354,competitive advantage,0,86,0
355,competitiveness,0,0,8
356,complementary goods,0,0,0
357,complex harmonic motion,0,5,0
358,compound,0,0,0
359,compound interest,0,3,0
360,compression,0,0,27
361,compton scattering,0,13,0
362,concave lens,0,0,0
363,concentration,0,0,0
364,condensation,0,0,4
365,condensation point,0,2,0
366,condensed matter physics,0,1,0
367,conditionality,0,0,0
368,conductor,0,0,0
369,conjugate acid,0,0,0
370,conjugated system,0,0,0
371,conservation biology,2,2,2
372,conservation of momentum,0,0,0
373,constructive interference,0,0,0
374,consumer confidence,0,1,0
375,consumer prices,0,0,0
376,consumer surplus,0,0,0
377,consumption,0,0,7
378,contagion,0,0,0
379,contestable market,0,0,0
380,continuous spectrum,0,0,0
381,continuum mechanics,0,5,0
382,convection,0,3,0
383,convergence,0,0,32
384,convex lens,0,0,0
385,cooling curve,0,6,0
386,corruption,0,0,0
387,cosmic background radiation,0,0,0
388,cosmic rays,0,0,0
389,cost of capital,0,0,0
390,cost-benefit analysis,0,0,0
391,coulomb,0,0,2
392,coulomb's law,0,3,0
393,covalent bond,0,0,1
394,covalent compound,0,0,0
395,creative destruction,0,0,0
396,credit,5,5,7
397,credit creation,0,0,0
398,credit crunch,0,11,0
399,creditor,0,11,1
400,crest,0,0,0
401,crest factor,0,0,0
402,critical angle,0,0,0
403,critical mass,0,0,0
404,crony capitalism,0,3,0
405,crowding out,0,0,0
406,cryobiology,0,0,9
407,crystal,0,0,0
408,currency board,0,0,0
409,currency peg,0,0,0
410,current account,0,0,0
411,current density,0,4,0
412,curvilinear motion,0,4,0
413,cuvette,0,0,0
414,cyclin,0,3,0
415,cyclotron,0,0,0
416,cytosine,0,0,0
417,dalton,0,0,0
418,dalton's law,0,0,0
419,dalton's law of partial pressures,0,0,0
420,damped vibration,0,0,0
421,damping,0,0,3
422,darcy,0,0,0
423,dark energy,0,0,0
424,dark matter,0,0,0
425,darwinian fitness,0,0,0
426,dc motor,0,0,0
427,"de soto, hernando",0,0,0
428,deadweight cost/loss,0,0,0
429,debt,6,11,55
430,debt forgiveness,0,0,0
431,debt-equity ratio,0,0,0
432,decibel,0,1,0
433,deciduous,0,0,0
434,default,0,0,22
435,deficit,0,0,0
436,definite integral,0,0,0
437,deflation,0,0,0
438,deflection,0,0,1
439,deformation (engineering),0,0,0
440,deformation (mechanics),0,0,0
441,dehydration reaction,0,0,0
442,deionization,0,0,0
443,deliquescence,0,0,0
444,demand,0,0,13
445,demand curve,0,0,0
446,demographics,0,0,1
447,denaturation,0,0,0
448,dendrite,0,0,0
449,denitrification,0,0,0
450,density,0,0,3
451,deoxyribonucleic acid,0,0,0
452,deoxyribose,0,0,1
453,depolarization,0,0,0
454,deposit insurance,0,0,0
455,deposition,0,0,1
456,depreciation,0,37,2
457,depression,0,0,0
458,deregulation,0,0,1
459,derivative,0,0,3
460,derivatives,2,2,17
461,derived unit,0,0,0
462,desmosome,0,0,0
463,destructive interference,0,0,0
464,devaluation,0,0,0
465,developing countries,1,1,1
466,development economics,0,1,0
467,dew point,0,0,0
468,diatomic-consistent of two atoms,0,0,0
469,dielectric,0,11,2
470,diffraction,0,3,18
471,diffusion,0,3,6
472,diminishing returns,0,0,0
473,dipolar bond,0,0,0
474,dipole,0,1,8
475,dipole moment,0,0,1
476,direct taxation,0,0,0
477,discount rate,0,0,0
478,discounted cashflow,0,0,0
479,diseconomies of scale,0,0,0
480,disequilibrium,0,0,0
481,disinflation,0,0,0
482,disintermediation,0,89,0
483,dispersion,0,0,0
484,displacement (fluid),0,0,0
485,displacement (vector),0,4,0
486,dissolution or solvation,0,0,0
487,distance,0,0,0
488,diversification,0,0,9
489,dividend,0,0,0
490,division of labour,0,0,0
491,dna,7,7,22
492,dna replication,2,2,2
493,dna sequencing,0,0,0
494,dollarisation,0,0,0
495,dominant firm,0,0,0
496,doppler effect,0,0,2
497,double bond,0,0,2
498,drag,0,0,0
499,drift velocity,0,0,0
500,ductility,0,0,0
501,dumping,0,0,0
502,dynamics,13,13,63
503,dyne,0,0,0
504,dynein,0,0,0
505,earth metal,0,0,0
506,ecb,0,0,0
507,ecdysone,0,0,0
508,ecological efficiency,0,0,0
509,ecological niche,0,4,0
510,ecological pyramid,0,4,0
511,ecological succession,0,0,0
512,ecology,4,4,58
513,econometrics,0,2,5
514,economic and monetary union,0,0,0
515,economic indicator,0,0,0
516,economic man,0,0,0
517,economic rent,0,0,0
518,economic sanctions,0,0,0
519,economics,16,16,63
520,economies of scale,0,0,0
521,econophysics,0,0,0
522,ecophysiology,0,4,0
523,ecosystem,0,0,8
524,ecotype,0,4,0
525,ectoderm,0,0,0
526,ectotherm,0,0,0
527,effective exchange rate,0,0,0
528,effector,0,0,0
529,effector cell,0,0,0
530,efferent,0,0,0
531,efficiency,1,1,3
532,efficiency wages,0,0,0
533,efficient market hypothesis,0,0,0
534,egg,0,0,0
535,elastic collision,0,5,0
536,elastic energy,0,5,0
537,elastic instability,0,28,0
538,elastic modulus,0,0,0
539,elasticity,0,0,0
540,electric charge,0,0,3
541,electric circuit,0,0,0
542,electric current,0,0,0
543,electric displacement field,0,0,0
544,electric field,0,1,1
545,electric field gradient,0,5,0
546,electric field intensity,0,0,0
547,electric generator,0,0,0
548,electric motor,0,0,0
549,electric potential,0,0,0
550,electric power,0,1,0
551,electrical and electronics engineering,0,0,0
552,electrical conductor,0,14,0
553,electrical insulator,0,0,0
554,electrical network,0,14,0
555,electrical potential energy,0,0,0
556,electrical resistance,0,0,0
557,electricity,14,14,18
558,electrochemical cell,0,20,0
559,electrochemical gradient,0,6,0
560,electrodynamics,0,0,6
561,electrolyte,0,0,4
562,electrolytic cell,0,0,0
563,electromagnet,0,3,0
564,electromagnetic field,0,1,0
565,electromagnetic induction,0,3,2
566,electromagnetic radiation,0,1,6
567,electromagnetic spectrum,0,7,5
568,electromagnetic wave equation,0,1,0
569,electromagnetism,1,1,46
570,electromechanics,0,28,0
571,electromotive force,0,1,0
572,electron,1,1,2
573,electron acceptor,0,0,0
574,electron carrier,0,0,0
575,electron donor,0,0,0
576,electron microscope,0,0,0
577,electron pair,0,0,0
578,electron shell,0,15,0
579,electron shells,0,0,0
580,electron transport chain,0,0,0
581,electronegativity,0,0,6
582,electronics,11,11,47
583,electronvolt,0,0,0
584,element,3,3,8
585,elementary particle,0,13,0
586,embryo,0,0,0
587,embryo sac,0,0,0
588,embryology,0,0,3
589,emerging markets,0,0,0
590,emission spectrum,0,8,0
591,empirical formula,0,0,2
592,enantiomer,0,0,0
593,endangered species,0,0,2
594,endemic species,0,0,0
595,endemism,0,2,0
596,endergonic reaction,0,0,0
597,endocrine gland,0,0,0
598,endocrine system,0,0,7
599,endocytosis,0,0,0
600,endoderm,0,0,0
601,endodermis,0,0,0
602,endogenous,0,0,0
603,endoplasmic reticulum,0,0,0
604,endosperm,0,0,0
605,endosymbiotic theory,0,0,0
606,endotherm,0,0,0
607,endothermic,0,0,0
608,energy,19,19,36
609,engel's law,0,0,0
610,engineering physics,1,1,1
611,enron,0,0,0
612,enterprise,11,11,40
613,enthalpy,0,3,2
614,entomology,0,50,0
615,entrepreneur,3,3,3
616,entropy,0,3,2
617,environmental biology,0,0,0
618,environmental economics,0,0,0
619,enzyme,0,0,5
620,epicotyl,0,0,0
621,epidemiology,0,0,9
622,epigenetics,0,0,0
623,epinephrine,0,0,2
624,epiphyte,0,0,0
625,epistasis,0,0,0
626,eppendorf tube,0,0,0
627,equilibrium,0,0,2
628,equipartition,0,0,0
629,equities,0,0,0
630,equity,1,1,3
631,equity risk premium,0,0,0
632,escape velocity,0,0,0
633,estrogen,0,0,0
634,ethology,0,0,9
635,eukaryote,0,0,0
636,euro,0,0,2
637,euro zone,0,0,0
638,eurodollar,0,0,0
639,european central bank,0,0,0
640,european union,0,0,2
641,evolution,5,5,32
642,evolutionary biology,0,0,8
643,evolutionary economics,0,0,0
644,excess returns,0,0,0
645,exchange controls,0,0,0
646,exchange rate,0,0,0
647,exocytosis,0,0,0
648,exogenous,0,0,0
649,exon,0,7,0
650,exothermic,0,0,1
651,exothermic process,0,0,0
652,expectations,0,0,1
653,expected returns,0,0,0
654,expenditure tax,0,0,0
655,experimental physics,0,3,0
656,exponential growth,0,0,0
657,export credit,0,0,0
658,exports,0,0,0
659,expressivity,0,0,0
660,external fertilization,0,0,0
661,externality,0,0,0
662,extrinsic property,0,0,0
663,factor cost,0,0,0
664,factors of production,0,4,0
665,factory prices,0,0,0
666,facultative anaerobe,0,0,0
667,fair trade,0,0,0
668,falling bodies,0,0,0
669,farad,0,0,9
670,faraday,0,0,0
671,faraday constant,0,0,0
672,faraday's law of electrolysis,0,0,0
673,fdi,0,0,0
674,federal reserve system,0,0,0
675,fermat's principle,0,33,0
676,ferrimagnetism,0,0,0
677,ferromagnetism,0,0,0
678,fick's laws of diffusion,0,0,0
679,financial centre,0,0,2
680,financial instrument,0,5,0
681,financial intermediary,0,0,0
682,financial markets,5,5,18
683,financial system,0,5,0
684,fine tuning,0,0,2
685,firms,0,0,13
686,first,10,10,18
687,first-mover advantage,0,1,0
688,fiscal drag,0,0,0
689,fiscal neutrality,0,0,0
690,fiscal policy,0,0,1
691,fission,0,0,4
692,fixed costs,0,0,0
693,flotation,0,0,0
694,fluid,0,0,5
695,fluid mechanics,0,0,12
696,fluid physics,0,0,0
697,fluid statics,0,0,0
698,fluorescence,0,6,0
699,flux,0,0,5
700,focus,0,0,12
701,foetus,0,0,0
702,food chain,0,0,0
703,force,3,8,3
704,forecasting,4,8,4
705,foreign direct investment,0,2,0
706,forward contracts,0,0,0
707,founder effect,0,4,0
708,fraunhofer lines,0,5,0
709,free lunch,0,0,0
710,free riding,0,0,0
711,free trade,0,0,5
712,freezing,0,0,0
713,freezing point,0,0,1
714,frequency,2,4,4
715,frequency modulation,0,0,1
716,frictional unemployment,0,8,0
717,"friedman, milton",0,0,0
718,full employment,0,0,0
719,function,3,3,8
720,fundamental frequency,0,1,0
721,fundamental theorem of calculus,0,0,0
722,fungible,0,0,0
723,fusion,0,0,3
724,futures,0,0,4
725,"g7, g8, g10, g21, g22, g26",0,0,0
726,galvanic cell,0,0,0
727,game theory,0,0,40
728,gamma,0,0,0
729,gamma ray,0,1,5
730,ganglion,0,0,2
731,gas,2,2,2
732,gatt,0,0,0
733,gay-lussac's law,0,0,0
734,gdp,0,0,3
735,gearing,0,0,0
736,gene,0,6,10
737,gene pool,0,6,0
738,general agreement on tariffs and trade,0,0,0
739,general equilibrium,0,0,0
740,general relativity,0,0,17
741,generational accounting,0,0,0
742,genetic code,2,15,13
743,genetic drift,0,0,3
744,genetic variation,0,0,0
745,genetics,7,7,59
746,genome,0,10,19
747,geochemistry,0,0,1
748,geophysics,0,0,0
749,gibbs energy,0,0,0
750,giffen goods,0,0,0
751,gilts,0,0,0
752,gini coefficient,0,0,0
753,global public goods,0,0,0
754,globalisation,0,0,5
755,gluon,0,0,0
756,gni,0,0,1
757,gnp,0,0,0
758,gold,0,0,3
759,gold standard,0,0,1
760,golden rule,0,0,0
761,government,5,5,31
762,government bonds,0,0,0
763,government debt,0,0,0
764,government expenditure,0,0,0
765,government revenue,0,0,0
766,graham's law of diffusion,0,0,0
767,gram-atom,0,0,0
768,gravitation,0,0,20
769,gravitational constant,0,0,0
770,gravitational energy,0,0,0
771,gravitational field,0,0,0
772,gravitational potential,0,0,0
773,gravitational waves,0,0,0
774,gravity,0,0,9
775,"greenspan, alan",0,0,0
776,gresham's law,0,0,0
777,gross domestic product,0,0,0
778,gross national product,0,0,0
779,ground,1,1,1
780,ground state,0,10,0
781,group,0,0,4
782,group velocity,0,4,0
783,growth,0,0,11
784,guanine,0,0,0
785,gular,0,0,0
786,habitat,0,4,11
787,hadron,0,0,0
788,half,0,0,1
789,halogens,0,0,0
790,hamilton's principle,0,33,0
791,hard currency,0,0,0
792,harmonic mean,0,0,0
793,hawala,0,0,2
794,"hayek, friedrich",0,0,0
795,heat,0,9,2
796,heat transfer,0,3,2
797,hedge,0,0,0
798,hedge funds,0,0,11
799,helmholtz free energy,0,3,0
800,henderson,0,0,0
801,henry's law,0,0,0
802,herfindahl-hirschman index,0,0,0
803,hermaphrodite,0,0,0
804,herpetology,0,0,0
805,hertz,0,0,0
806,hess's law,0,0,0
807,heterosis,0,7,0
808,higgs boson,0,0,0
809,histology,0,0,10
810,homeokinetics,0,54,0
811,homo economicus,0,0,0
812,horizontal equity,0,0,0
813,horizontal integration,0,2,0
814,hormone,0,0,0
815,horsepower,0,0,0
816,hot money,0,5,0
817,house prices,0,0,0
818,hubble deep field,0,0,0
819,human capital,0,0,0
820,human development index,0,0,0
821,human nutrition,0,0,0
822,hund's rules,0,6,0
823,huygens,0,0,0
824,hydrocarbon,0,0,0
825,hydrostatics,0,0,0
826,hyper-inflation,0,0,0
827,hypothecation,0,5,0
828,hysteresis,0,0,1
829,ice point,0,0,0
830,ichthyology,0,0,0
831,ideal gas,0,0,0
832,ideal gas constant,0,0,0
833,ideal gas law,0,0,0
834,ilo,0,0,0
835,imf,0,0,46
836,immune response,0,8,0
837,immunogloblin,0,0,0
838,impedance,0,0,0
839,imperfect competition,0,0,0
840,imports,0,0,0
841,income,1,1,1
842,income effect,0,0,0
843,income tax,0,0,2
844,incomplete dominance,0,0,0
845,incumbent advantage,0,0,0
846,indefinite integral,0,0,0
847,index numbers,0,0,0
848,indexation,0,0,0
849,indicator,0,0,0
850,indifference curve,0,0,0
851,indirect taxation,0,0,0
852,induced radioactivity,0,1,0
853,inductance,0,0,0
854,inductive reactance,0,0,0
855,inelastic,0,0,4
856,inequality,1,1,3
857,inertia,0,5,0
858,inferior goods,0,0,0
859,inflation,0,0,0
860,inflation target,0,0,0
861,information,10,10,152
862,infrasound,0,0,0
863,infrastructure,6,6,23
864,innovation,19,70,52
865,inorganic chemistry,0,15,0
866,inorganic compound,0,0,0
867,insider trading,0,0,0
868,institutional economics,0,0,0
869,institutional investors,0,0,0
870,insulator,0,0,0
871,insulin,0,0,0
872,insurance,0,0,45
873,intangible assets,0,0,0
874,integral,0,0,18
875,integral transform,0,0,0
876,integrative biology,0,0,0
877,intellectual capital,0,2,0
878,interest,0,21,14
879,interest rate,0,0,11
880,interferon,0,0,0
881,interleukin,0,0,0
882,internal fertilization,0,0,0
883,international aid,0,0,0
884,international labour organisation,0,0,0
885,international monetary fund,0,0,0
886,international system of units,0,0,0
887,international trade,0,0,22
888,intervention,0,0,3
889,intrinsic property,0,0,0
890,invariant mass,0,3,0
891,invertebrate,0,0,0
892,investment,3,3,68
893,invisible hand,0,0,1
894,invisible trade,0,0,0
895,inward investment,0,0,0
896,ion,0,0,0
897,ionic bond,0,0,0
898,ionization,0,5,0
899,isomer,0,0,1
900,isotonic solution,0,0,0
901,isotope,0,0,0
902,iupac,0,0,0
903,j-curve,1,1,1
904,jejunum,0,0,0
905,job search,0,0,0
906,jodium,0,0,0
907,joint supply,0,0,0
908,joule,0,0,0
909,kelvin,0,0,0
910,ketone,0,0,0
911,"keynes, john maynard",0,0,0
912,keynesian,0,0,0
913,kinematics,1,6,1
914,kinetic energy,0,3,2
915,kinetics,0,0,7
916,kirchhoff's circuit laws,0,0,0
917,kirchhoff's equations,0,0,0
918,kleptocracy,0,0,0
919,kondratieff wave,0,0,0
920,krebs cycle,0,0,0
921,labour,0,0,15
922,labour intensive,0,0,0
923,labour market flexibility,0,0,0
924,labour theory of value,0,0,0
925,lacteal,0,0,0
926,laffer curve,0,0,0
927,lagging indicators,0,0,0
928,lagging strand,0,0,2
929,laissez-faire,0,0,0
930,laminar flow,0,3,0
931,land,0,0,0
932,land tax,0,0,0
933,lanthanides,0,0,0
934,laplace,0,0,1
935,laplace transform,0,6,0
936,larva,0,0,0
937,laser,0,0,12
938,lattice,0,0,1
939,law and economics,0,0,0
940,law of independent assortment,0,0,0
941,law of universal gravitation,0,0,0
942,laws of motion,0,4,0
943,laws of thermodynamics,0,0,0
944,lbo,0,0,0
945,lc circuit,0,0,0
946,leading indicators,0,0,0
947,lender of last resort,0,0,0
948,lepton,0,3,7
949,leukocyte,0,0,0
950,lever,0,0,2
951,leverage,0,0,9
952,leveraged buy-out,0,0,0
953,lewis acid,0,0,0
954,lewis base,0,0,0
955,liberal economics,0,0,0
956,liberalisation,0,0,0
957,libor,0,5,0
958,life,27,27,41
959,life-cycle hypothesis,0,0,0
960,ligament,0,0,0
961,light,5,5,5
962,linear actuator,0,0,0
963,linear algebra,9,9,16
964,linear elasticity,0,0,0
965,linked genes,0,0,0
966,liouville's theorem,0,0,0
967,lipid,0,0,0
968,lipoprotein,0,0,0
969,liquid,0,0,11
970,liquid crystal,0,0,3
971,liquidity,0,0,0
972,liquidity preference,0,0,0
973,liquidity trap,0,0,0
974,lock-in,0,0,0
975,london dispersion forces,0,0,0
976,long run,0,0,0
977,lump of labour fallacy,0,0,0
978,lump-sum tax,0,0,0
979,luxuries,0,0,0
980,m,0,0,0
981,m phase,0,0,0
982,mach number,0,3,0
983,machine,14,14,71
984,machine element,0,2,0
985,maclaurin series,0,0,0
986,macroeconomic policy,0,0,0
987,macroeconomics,8,8,12
988,macroevolution,0,0,0
989,macromolecule,0,1,0
990,macronutrient,0,0,0
991,macrophage,0,3,0
992,magnetic field,0,11,2
993,magnetic quantum number,0,5,0
994,magnetism,11,11,16
995,mammalogy,0,0,3
996,manometer,0,0,0
997,manufacturing,1,4,12
998,marginal,0,0,9
999,marine biology,0,0,0
1000,market capitalisation,0,0,0
1001,market failure,0,0,0
1002,market forces,0,0,0
1003,market power,0,0,0
1004,marshall plan,0,0,0
1005,"marshall, alfred",0,0,0
1006,"marx, karl",0,0,0
1007,mass,0,0,19
1008,mass balance,0,3,0
1009,mass concentration,0,0,0
1010,mass density,0,0,0
1011,mass flux,0,0,0
1012,mass fraction,0,0,0
1013,mass moment of inertia,0,0,0
1014,mass number,0,0,0
1015,mass spectrometry,0,0,0
1016,mast cell,0,3,0
1017,material properties,0,0,0
1018,materials science,1,1,11
1019,mathematical physics,0,0,0
1020,mathematics,10,10,141
1021,matrix,4,4,22
1022,matter,8,8,13
1023,maxwell's equations,0,1,0
1024,mean,2,2,4
